commune_code,commune,province,region,region_code,period,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation
7407,Villa Alegre,Linares,Región del Maule,7.0,2026Q2,fixed,44,231,89,283.843,217.386,10.251,201.606,278.939,tile averages weighted by tile test count
7408,Yerbas Buenas,Linares,Región del Maule,7.0,2026Q2,fixed,66,364,104,208.149,213.061,10.148,120.676,238.308,tile averages weighted by tile test count
8101,Concepción,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,173,7401,2888,472.629,407.015,7.838,220.022,236.457,tile averages weighted by tile test count
8102,Coronel,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,132,2154,792,497.944,418.238,6.799,257.315,311.324,tile averages weighted by tile test count
8103,Chiguayante,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,76,2290,771,424.801,362.809,7.048,296.542,285.497,tile averages weighted by tile test count
8104,Florida,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,42,122,53,295.562,195.345,16.943,221.083,260.421,tile averages weighted by tile test count
8105,Hualqui,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,46,387,147,451.28,355.999,12.86,263.687,260.207,tile averages weighted by tile test count
8106,Lota,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,28,547,185,493.062,470.444,5.168,257.155,235.104,tile averages weighted by tile test count
8107,Penco,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,49,771,317,502.316,413.255,9.577,236.495,229.245,tile averages weighted by tile test count
8108,San Pedro de la Paz,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,131,4736,1520,449.961,383.555,7.706,257.309,264.459,tile averages weighted by tile test count
8109,Santa Juana,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,25,77,46,319.932,224.377,13.234,226.562,156.37,tile averages weighted by tile test count
8110,Talcahuano,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,119,2529,1028,466.438,416.258,7.773,224.321,245.999,tile averages weighted by tile test count
8111,Tomé,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,65,801,254,468.046,402.608,8.599,279.519,257.147,tile averages weighted by tile test count
8112,Hualpén,Concepción,Región del Bío-Bío,8.0,2026Q2,fixed,53,1819,749,482.729,415.152,8.261,239.175,237.589,tile averages weighted by tile test count
8201,Lebu,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,30,147,74,442.876,374.692,9.463,316.966,175.109,tile averages weighted by tile test count
8202,Arauco,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,54,389,145,447.556,381.346,9.111,464.419,470.972,tile averages weighted by tile test count
8203,Cañete,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,84,535,179,359.822,270.405,13.867,256.806,207.626,tile averages weighted by tile test count
8204,Contulmo,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,9,43,15,284.83,203.94,8.419,159.651,174.628,tile averages weighted by tile test count
8205,Curanilahue,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,35,315,116,347.031,327.998,6.514,364.251,427.21,tile averages weighted by tile test count
8206,Los Alamos,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,41,243,82,369.57,296.577,10.864,319.158,319.667,tile averages weighted by tile test count
8207,Tirúa,Arauco,Región del Bío-Bío,8.0,2026Q2,fixed,19,41,27,154.31,24.506,47.098,182.122,84.707,tile averages weighted by tile test count
8301,Los Ángeles,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,603,6196,2015,345.257,280.375,12.841,288.761,277.434,tile averages weighted by tile test count
8302,Antuco,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,25,79,35,123.142,51.828,20.658,283.975,495.443,tile averages weighted by tile test count
8303,Cabrero,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,92,527,199,349.395,279.652,11.355,270.922,356.888,tile averages weighted by tile test count
8304,Laja,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,37,208,87,337.084,216.415,14.111,199.014,139.361,tile averages weighted by tile test count
8305,Mulchén,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,51,437,167,369.129,298.514,11.725,224.245,261.243,tile averages weighted by tile test count
8306,Nacimiento,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,48,401,155,405.399,344.614,9.708,249.102,239.357,tile averages weighted by tile test count
8307,Negrete,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,20,155,35,286.563,235.135,11.277,372.858,227.929,tile averages weighted by tile test count
8308,Quilaco,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,27,167,38,287.244,200.558,13.91,398.449,344.497,tile averages weighted by tile test count
8309,Quilleco,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,37,107,69,100.669,63.603,19.776,315.523,484.729,tile averages weighted by tile test count
8310,San Rosendo,Bío-Bío,Región del Bío-Bío,8.0,2026Q2,fixed,7,35,11,249.065,147.099,43.343,202.857,131.543,tile averages weighted by tile test count
