comuna,comuna_nombre,service_key,operator,network_role,record_count_intersecting,status
5104,Juan Fernández,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5104,Juan Fernández,claro_redacceso,Claro,RedAcceso,0,ok
5104,Juan Fernández,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
5104,Juan Fernández,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
5104,Juan Fernández,infraco_redacceso,Infraco,RedAcceso,0,ok
5104,Juan Fernández,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
5105,Puchuncaví,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5105,Puchuncaví,claro_redacceso,Claro,RedAcceso,10,ok
5105,Puchuncaví,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,32,ok
5105,Puchuncaví,entel_redacceso_primarias,Entel,RedAcceso_primarias,12,ok
5105,Puchuncaví,infraco_redacceso,Infraco,RedAcceso,0,ok
5105,Puchuncaví,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,19,ok
5107,Quintero,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5107,Quintero,claro_redacceso,Claro,RedAcceso,6,ok
5107,Quintero,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,100,ok
5107,Quintero,entel_redacceso_primarias,Entel,RedAcceso_primarias,15,ok
5107,Quintero,infraco_redacceso,Infraco,RedAcceso,1459,ok
5107,Quintero,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,492,ok
5109,Viña del Mar,claro_redacceso_hfc,Claro,RedAcceso_HFC,849,ok
5109,Viña del Mar,claro_redacceso,Claro,RedAcceso,1586,ok
5109,Viña del Mar,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,1504,ok
5109,Viña del Mar,entel_redacceso_primarias,Entel,RedAcceso_primarias,361,ok
5109,Viña del Mar,infraco_redacceso,Infraco,RedAcceso,11321,ok
5109,Viña del Mar,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,146,ok
5201,Isla de Pascua,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5201,Isla de Pascua,claro_redacceso,Claro,RedAcceso,0,ok
5201,Isla de Pascua,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
5201,Isla de Pascua,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
5201,Isla de Pascua,infraco_redacceso,Infraco,RedAcceso,0,ok
5201,Isla de Pascua,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
5301,Los Andes,claro_redacceso_hfc,Claro,RedAcceso_HFC,264,ok
