period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2014-07,2014,7,fixed_connections,fixed_connections_total,2447933,connections,7.1.CO_TOT_FIJAS,90
2014-07,2014,7,fixed_connections,penetration_per_100_inhabitants,13.778804,per_100_inhabitants,7.1.CO_TOT_FIJAS,90
2014-08,2014,8,fixed_connections,fixed_connections_total,2469314,connections,7.1.CO_TOT_FIJAS,91
2014-08,2014,8,fixed_connections,penetration_per_100_inhabitants,13.886199,per_100_inhabitants,7.1.CO_TOT_FIJAS,91
2014-09,2014,9,fixed_connections,fixed_connections_total,2482996,connections,7.1.CO_TOT_FIJAS,92
2014-09,2014,9,fixed_connections,penetration_per_100_inhabitants,13.950139,per_100_inhabitants,7.1.CO_TOT_FIJAS,92
2014-10,2014,10,fixed_connections,fixed_connections_total,2496297,connections,7.1.CO_TOT_FIJAS,93
2014-10,2014,10,fixed_connections,penetration_per_100_inhabitants,14.011822,per_100_inhabitants,7.1.CO_TOT_FIJAS,93
2014-11,2014,11,fixed_connections,fixed_connections_total,2503762,connections,7.1.CO_TOT_FIJAS,94
2014-11,2014,11,fixed_connections,penetration_per_100_inhabitants,14.040662,per_100_inhabitants,7.1.CO_TOT_FIJAS,94
2014-12,2014,12,fixed_connections,fixed_connections_total,2501356,connections,7.1.CO_TOT_FIJAS,95
2014-12,2014,12,fixed_connections,penetration_per_100_inhabitants,14.014146,per_100_inhabitants,7.1.CO_TOT_FIJAS,95
2015-01,2015,1,fixed_connections,fixed_connections_total,2509751,connections,7.1.CO_TOT_FIJAS,96
2015-01,2015,1,fixed_connections,penetration_per_100_inhabitants,14.047265,per_100_inhabitants,7.1.CO_TOT_FIJAS,96
2015-02,2015,2,fixed_connections,fixed_connections_total,2509990,connections,7.1.CO_TOT_FIJAS,97
2015-02,2015,2,fixed_connections,penetration_per_100_inhabitants,14.034715,per_100_inhabitants,7.1.CO_TOT_FIJAS,97
2015-03,2015,3,fixed_connections,fixed_connections_total,2556914,connections,7.1.CO_TOT_FIJAS,98
2015-03,2015,3,fixed_connections,penetration_per_100_inhabitants,14.282972,per_100_inhabitants,7.1.CO_TOT_FIJAS,98
2015-04,2015,4,fixed_connections,fixed_connections_total,2589176,connections,7.1.CO_TOT_FIJAS,99
2015-04,2015,4,fixed_connections,penetration_per_100_inhabitants,14.448918,per_100_inhabitants,7.1.CO_TOT_FIJAS,99
2015-05,2015,5,fixed_connections,fixed_connections_total,2612968,connections,7.1.CO_TOT_FIJAS,100
2015-05,2015,5,fixed_connections,penetration_per_100_inhabitants,14.567317,per_100_inhabitants,7.1.CO_TOT_FIJAS,100
2015-06,2015,6,fixed_connections,fixed_connections_total,2614855,connections,7.1.CO_TOT_FIJAS,101
2015-06,2015,6,fixed_connections,penetration_per_100_inhabitants,14.563482,per_100_inhabitants,7.1.CO_TOT_FIJAS,101
2015-07,2015,7,fixed_connections,fixed_connections_total,2657179,connections,7.1.CO_TOT_FIJAS,102
2015-07,2015,7,fixed_connections,penetration_per_100_inhabitants,14.78465,per_100_inhabitants,7.1.CO_TOT_FIJAS,102
2015-08,2015,8,fixed_connections,fixed_connections_total,2679495,connections,7.1.CO_TOT_FIJAS,103
2015-08,2015,8,fixed_connections,penetration_per_100_inhabitants,14.894167,per_100_inhabitants,7.1.CO_TOT_FIJAS,103
2015-09,2015,9,fixed_connections,fixed_connections_total,2698253,connections,7.1.CO_TOT_FIJAS,104
2015-09,2015,9,fixed_connections,penetration_per_100_inhabitants,14.983711,per_100_inhabitants,7.1.CO_TOT_FIJAS,104
2015-10,2015,10,fixed_connections,fixed_connections_total,2717125,connections,7.1.CO_TOT_FIJAS,105
2015-10,2015,10,fixed_connections,penetration_per_100_inhabitants,15.073712,per_100_inhabitants,7.1.CO_TOT_FIJAS,105
2015-11,2015,11,fixed_connections,fixed_connections_total,2727811,connections,7.1.CO_TOT_FIJAS,106
2015-11,2015,11,fixed_connections,penetration_per_100_inhabitants,15.118167,per_100_inhabitants,7.1.CO_TOT_FIJAS,106
2015-12,2015,12,fixed_connections,fixed_connections_total,2729251,connections,7.1.CO_TOT_FIJAS,107
2015-12,2015,12,fixed_connections,penetration_per_100_inhabitants,15.111343,per_100_inhabitants,7.1.CO_TOT_FIJAS,107
2016-01,2016,1,fixed_connections,fixed_connections_total,2733597,connections,7.1.CO_TOT_FIJAS,108
2016-01,2016,1,fixed_connections,penetration_per_100_inhabitants,15.117268,per_100_inhabitants,7.1.CO_TOT_FIJAS,108
2016-02,2016,2,fixed_connections,fixed_connections_total,2736564,connections,7.1.CO_TOT_FIJAS,109
2016-02,2016,2,fixed_connections,penetration_per_100_inhabitants,15.115561,per_100_inhabitants,7.1.CO_TOT_FIJAS,109
2016-03,2016,3,fixed_connections,fixed_connections_total,2742987,connections,7.1.CO_TOT_FIJAS,110
2016-03,2016,3,fixed_connections,penetration_per_100_inhabitants,15.132925,per_100_inhabitants,7.1.CO_TOT_FIJAS,110
2016-04,2016,4,fixed_connections,fixed_connections_total,2771112,connections,7.1.CO_TOT_FIJAS,111
2016-04,2016,4,fixed_connections,penetration_per_100_inhabitants,15.269834,per_100_inhabitants,7.1.CO_TOT_FIJAS,111
2016-05,2016,5,fixed_connections,fixed_connections_total,2817799,connections,7.1.CO_TOT_FIJAS,112
2016-05,2016,5,fixed_connections,penetration_per_100_inhabitants,15.508577,per_100_inhabitants,7.1.CO_TOT_FIJAS,112
2016-06,2016,6,fixed_connections,fixed_connections_total,2830543,connections,7.1.CO_TOT_FIJAS,113
2016-06,2016,6,fixed_connections,penetration_per_100_inhabitants,15.560159,per_100_inhabitants,7.1.CO_TOT_FIJAS,113
2016-07,2016,7,fixed_connections,fixed_connections_total,2860355,connections,7.1.CO_TOT_FIJAS,114
2016-07,2016,7,fixed_connections,penetration_per_100_inhabitants,15.705333,per_100_inhabitants,7.1.CO_TOT_FIJAS,114
2016-08,2016,8,fixed_connections,fixed_connections_total,2860850,connections,7.1.CO_TOT_FIJAS,115
2016-08,2016,8,fixed_connections,penetration_per_100_inhabitants,15.689382,per_100_inhabitants,7.1.CO_TOT_FIJAS,115
2016-09,2016,9,fixed_connections,fixed_connections_total,2889096,connections,7.1.CO_TOT_FIJAS,116
2016-09,2016,9,fixed_connections,penetration_per_100_inhabitants,15.82548,per_100_inhabitants,7.1.CO_TOT_FIJAS,116
