period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2025-12,2025,12,fixed_traffic,fixed_traffic_total_tb,3240609.644121,TB,10.1.TRAF_SENT,94
2025-12,2025,12,fixed_traffic,fixed_traffic_uplink_tb,406131.744848,TB,10.1.TRAF_SENT,94
2025-12,2025,12,mobile_connections,connections_2g,42988,connections,8.1.CO_TEC_MOVIL,200
2025-12,2025,12,mobile_connections,connections_3g,356736,connections,8.1.CO_TEC_MOVIL,200
2025-12,2025,12,mobile_connections,connections_3g_4g_5g,22727018,connections,8.1.CO_TEC_MOVIL,200
2025-12,2025,12,mobile_connections,connections_4g,12671496,connections,8.1.CO_TEC_MOVIL,200
2025-12,2025,12,mobile_connections,connections_5g,9698786,connections,8.1.CO_TEC_MOVIL,200
2025-12,2025,12,mobile_connections,mobile_connections_total,22770006,connections,8.1.CO_TEC_MOVIL,200
2025-12,2025,12,mobile_traffic,mobile_traffic_downlink_tb,596151.227015,TB,9.1.TRAF_SENT,113
2025-12,2025,12,mobile_traffic,mobile_traffic_total_tb,651753.916795,TB,9.1.TRAF_SENT,113
2025-12,2025,12,mobile_traffic,mobile_traffic_uplink_tb,55602.68978,TB,9.1.TRAF_SENT,113
