region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa
5,Valparaíso,53,Los Andes,5301,Los Andes,23192,22989,1285,5.5896,4992,21.7147,22702,97.8872,12813,55.2475,16571,71.4514,20212,87.1507,1078,4.6482,21747,93.7694,1445,6.2306,4.2148,0.2733,36.6392,27.7277,1.6349,16.5178,38.9592,31.1101,23.5212,49.9393,4.3886,Centro
5,Valparaíso,53,Los Andes,5302,Calle Larga,5769,5760,383,6.6493,1634,28.3681,5690,98.6306,2929,50.7714,3624,62.8185,5050,87.5368,291,5.0442,4238,73.4616,1531,26.5384,5.2192,0.284,30.0208,16.3718,1.6129,14.8977,44.8491,28.4079,25.0607,44.5196,4.9254,Centro
5,Valparaíso,53,Los Andes,5303,Rinconada,4046,4039,336,8.3189,1132,28.0267,3964,97.9733,2052,50.7168,2458,60.7514,3463,85.5907,317,7.8349,3081,76.1493,965,23.8507,5.0152,0.228,26.2924,13.8016,1.583,15.5578,45.7581,29.0131,21.8155,44.8924,5.7136,Centro
5,Valparaíso,53,Los Andes,5304,San Esteban,7132,7115,524,7.3647,2028,28.5032,7008,98.2614,3745,52.5098,4445,62.3247,6190,86.7919,334,4.6831,3906,54.7672,3226,45.2328,4.7238,0.2426,30.9948,17.0198,1.7679,14.4521,42.2057,30.2231,24.1336,44.3665,5.0933,Centro
5,Valparaíso,54,Petorca,5401,La Ligua,14322,14264,1249,8.7563,6442,45.1626,14060,98.1706,6275,43.8137,6281,43.8556,12275,85.7073,705,4.9225,9181,64.1042,5141,35.8958,4.6982,0.3003,29.1404,15.4697,2.086,15.7987,37.0363,34.1313,26.3335,49.279,4.9909,Centro
5,Valparaíso,54,Petorca,5402,Cabildo,6779,6767,666,9.8419,3480,51.426,6651,98.1118,3170,46.7621,2519,37.1589,5804,85.6173,304,4.4844,3955,58.3419,2824,41.6581,4.8044,0.3324,29.0837,14.2541,1.4903,15.5378,41.4785,34.6171,25.8521,44.5772,5.9318,Centro
5,Valparaíso,54,Petorca,5403,Papudo,2715,2681,128,4.7743,1207,45.0205,2684,98.8582,1385,51.0129,1269,46.7403,2515,92.6335,172,6.3352,2115,77.9006,600,22.0994,5.8446,0.5279,29.9668,15.739,1.5481,12.864,37.265,34.9429,25.8017,43.826,5.6027,Centro
5,Valparaíso,54,Petorca,5404,Petorca,3820,3814,431,11.3005,2593,67.9864,3735,97.7749,1551,40.6021,744,19.4764,3320,86.911,82,2.1466,1426,37.3298,2394,62.6702,3.6224,0.0264,26.775,12.3657,4.1394,15.431,35.1585,36.2326,29.29,52.7116,4.9253,Centro
5,Valparaíso,54,Petorca,5405,Zapallar,2815,2799,185,6.6095,1308,46.731,2777,98.6501,1432,50.8703,1198,42.5577,2511,89.2007,266,9.4494,1727,61.3499,1088,38.6501,4.1953,0.1085,31.4123,13.0914,2.5614,11.6329,38.3138,37.0687,22.412,42.974,5.3362,Centro
5,Valparaíso,55,Quillota,5501,Quillota,33899,33617,2039,6.0654,8719,25.9363,33151,97.7934,17490,51.5944,22472,66.291,29512,87.0586,1387,4.0916,29286,86.3919,4613,13.6081,4.0461,0.2614,35.5602,23.2869,2.0836,16.2804,39.508,33.1802,25.2075,51.2211,5.2579,Centro
