"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100333020231112",-70.14500000000001,-20.2287,166.157,37.679,38,888,443,10,8
"2100333020231113",-70.1395,-20.2287,40.832,16.611,49,1143,1068,38,15
"2100333020231121",-70.1505,-20.2339,29.875,16.905,42,2512,712,6,4
"2100333020231130",-70.14500000000001,-20.2339,137.248,39.483,37,861,1331,22,7
"2100333020231131",-70.1395,-20.2339,32.286,20.453,51,1522,1213,50,15
"2100333020231132",-70.14500000000001,-20.239,56.906,26.813,47,1329,927,15,9
"2100333020231133",-70.1395,-20.239,97.056,43.427,44,1391,1440,28,20
"2100333020231310",-70.14500000000001,-20.2442,7.552,12.75,68,2222,1044,2,2
"2100333020231311",-70.1395,-20.2442,41.888,14.42,54,2545,1437,59,21
"2100333020231313",-70.1395,-20.249299999999998,41.412,7.652,35,646,452,2,2
"2100333020302022",-70.13399999999999,-20.1978,29.266,9.855,183,1496,1491,4,4
"2100333020302200",-70.13399999999999,-20.202900000000003,37.507,24.59,47,718,501,3,2
"2100333020302201",-70.1285,-20.202900000000003,98.34,16.235,43,1278,2115,1,1
"2100333020302202",-70.13399999999999,-20.208099999999998,25.993,18.398,45,1097,1550,2,2
"2100333020302203",-70.1285,-20.208099999999998,15.678,20.813,50,1443,743,2,2
"2100333020302220",-70.13399999999999,-20.2132,92.436,33.005,43,1933,444,10,10
"2100333020302221",-70.1285,-20.2132,204.516,44.774,34,1133,1060,1,1
"2100333020302222",-70.13399999999999,-20.218400000000003,56.599,16.4,50,2090,1031,6,6
"2100333020302223",-70.1285,-20.218400000000003,34.605,22.771,32,480,106,1,1
"2100333020320000",-70.13399999999999,-20.223499999999998,79.65,22.568,56,1469,2391,2,2
"2100333020320001",-70.1285,-20.223499999999998,10.336,11.41,54,1036,661,1,1
"2100333020320002",-70.13399999999999,-20.2287,33.556,15.855,89,1465,1532,14,6
"2100333020320003",-70.1285,-20.2287,35.357,17.609,53,1543,1700,10,6
"2100333020320020",-70.13399999999999,-20.2339,57.579,28.224,31,686,335,33,2
"2100333020320021",-70.1285,-20.2339,81.47,32.931,54,947,383,77,5
"2100333020320022",-70.13399999999999,-20.239,105.337,12.392,42,626,1449,3,3
"2100333020320023",-70.1285,-20.239,201.604,35,42,608,1012,1,1
"2100333020320200",-70.13399999999999,-20.2442,104.202,36.556,43,673,466,4,4
"2100333020320201",-70.1285,-20.2442,145.574,31.121,27,712,2165,4,3
"2100333020320202",-70.13399999999999,-20.249299999999998,51.179,15.434,52,1369,1684,6,6
"2100333020320203",-70.1285,-20.249299999999998,43.864,9.233,50,2131,1838,8,7
"2100333020320210",-70.123,-20.2442,17.09,9.003,51,1804,1177,48,3
"2100333020320220",-70.13399999999999,-20.2545,170.319,26.737,39,583,655,9,9
