"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100333020213322",-70.1559,-20.218400000000003,495.88,446.065,19,179,116,47,14
"2100333020213323",-70.1505,-20.218400000000003,411.2,368.12,19,270,289,80,40
"2100333020213330",-70.14500000000001,-20.2132,338.506,288.582,21,322,625,122,59
"2100333020213331",-70.1395,-20.2132,446.472,412.73,21,355,223,66,25
"2100333020213332",-70.14500000000001,-20.218400000000003,386.149,336.643,22,290,222,99,40
"2100333020213333",-70.1395,-20.218400000000003,470.1,381.743,21,248,221,164,32
"2100333020231100",-70.1559,-20.223499999999998,54.37,5.406,53,107,103,1,1
"2100333020231101",-70.1505,-20.223499999999998,440.424,418.444,21,437,226,80,34
"2100333020231103",-70.1505,-20.2287,207.536,10.189,53,426,127,1,1
"2100333020231110",-70.14500000000001,-20.223499999999998,420.36,317.422,22,360,264,154,40
"2100333020231111",-70.1395,-20.223499999999998,453.345,378.202,23,376,222,121,36
"2100333020231112",-70.14500000000001,-20.2287,451.003,356.678,23,359,219,145,64
"2100333020231113",-70.1395,-20.2287,467.946,348.002,26,394,241,113,51
"2100333020231121",-70.1505,-20.2339,407.602,310.426,20,444,225,226,26
"2100333020231130",-70.14500000000001,-20.2339,448.672,354.544,24,275,174,111,32
"2100333020231131",-70.1395,-20.2339,473.802,384.954,22,270,270,150,36
"2100333020231132",-70.14500000000001,-20.239,418.339,358.622,20,228,387,128,50
"2100333020231133",-70.1395,-20.239,455.743,370.966,24,408,219,103,46
"2100333020231310",-70.14500000000001,-20.2442,654.2,566.425,9,100,37,3,3
"2100333020231311",-70.1395,-20.2442,527.53,440.132,21,291,160,116,47
"2100333020231313",-70.1395,-20.249299999999998,465.875,346.573,19,269,112,68,29
"2100333020302020",-70.13399999999999,-20.1926,667.486,708.107,28,241,41,5,1
"2100333020302022",-70.13399999999999,-20.1978,238.977,193.492,28,949,691,13,4
"2100333020302200",-70.13399999999999,-20.202900000000003,445.561,397.064,23,250,167,28,9
"2100333020302201",-70.1285,-20.202900000000003,493.532,422.433,19,247,961,4,3
"2100333020302202",-70.13399999999999,-20.208099999999998,310.533,301.462,22,313,279,61,24
"2100333020302203",-70.1285,-20.208099999999998,466.516,467.051,12,140,141,18,11
"2100333020302220",-70.13399999999999,-20.2132,484.168,402.324,27,408,185,134,51
"2100333020302221",-70.1285,-20.2132,490.342,534.242,2,127,299,12,5
"2100333020302222",-70.13399999999999,-20.218400000000003,505.126,422.907,27,629,164,53,18
"2100333020320000",-70.13399999999999,-20.223499999999998,479.815,377.203,17,696,281,85,37
"2100333020320001",-70.1285,-20.223499999999998,297.338,242.799,7,636,388,112,6
"2100333020320002",-70.13399999999999,-20.2287,499.818,369.051,20,310,121,108,38
"2100333020320003",-70.1285,-20.2287,526.771,445.92,18,256,206,43,21
"2100333020320020",-70.13399999999999,-20.2339,425.49,336.863,25,390,177,158,35
"2100333020320021",-70.1285,-20.2339,427.913,348.321,24,386,394,119,32
"2100333020320022",-70.13399999999999,-20.239,465.637,417.414,21,288,279,93,39
"2100333020320023",-70.1285,-20.239,505.205,431.909,19,229,260,90,37
"2100333020320200",-70.13399999999999,-20.2442,469.681,385.334,22,300,191,232,40
"2100333020320201",-70.1285,-20.2442,461.181,389.009,20,439,197,158,48
"2100333020320202",-70.13399999999999,-20.249299999999998,471.416,406.836,25,264,104,114,33
"2100333020320203",-70.1285,-20.249299999999998,429.876,364.033,25,301,280,192,52
"2100333020320210",-70.123,-20.2442,275.612,228.905,32,402,281,18,8
"2100333020320212",-70.123,-20.249299999999998,553.308,399.44,22,323,247,29,13
"2100333020320220",-70.13399999999999,-20.2545,483.975,405.394,17,233,248,103,32
"2100333020320221",-70.1285,-20.2545,390.669,319.142,22,285,327,102,39
