dataset_id,reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_6,No le gusta [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_7,No le interesa [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_8,No le llama la atención [Q36.-  ¿Por qué no le interesa?],48,1,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_9,Desconfianza [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_10,NET NO LO NECESITA [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_11,No lo necesito [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_12,NET PRECIO [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_14,NET OTROS [Q36.-  ¿Por qué no le interesa?],48,1,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_16,No sabe [Q36.-  ¿Por qué no le interesa?],48,1,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q36_CODIF_17,Nada [Q36.-  ¿Por qué no le interesa?],48,1,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q11_1_4,"En el hogar de otra persona (amigos, conocidos o parientes) [Q11_1.- En el último día, ¿en qué lugares ha utilizado Internet? ]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q11_1_6,"Lugares con red de WI-FI gratis (metro, restaurantes, café, estaciones de servicio, municipios, juntas de vecinos) [Q11_1.- En el último día, ¿en qué lugares ha utilizado Internet? ]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q12_3,"Internet Móvil Con Plan O Bolsa De Gigas/Megas De Un Teléfono Móvil [Smartphone] / Tablet [Q12.- Qué tipo de acceso a Internet ha utilizado en los últimos 3 meses, tanto dentro como fuera del hogar? ¿Algún otro? ]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q21_8,"7. obtener información del gobierno u otras organizaciones (a través de sitios web o correo electrónico) [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q21_17,"15. compartir contenidos (noticias, memes, links) a través de las redes sociales [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q21_31,"27. realizar trámites para la obtención de certificados o beneficios del estado (bonos) [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,1,Q21_32,"28. participar y/o votar de manera electrónica por iniciativas o proyectos que son liderados por el gobierno [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
