reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025,XII,indigenous,2,A12_4,Mapuche [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],5000,2,0.0,False
2025,XII,indigenous,2,Q1_5_1,Aymara [Q1.5.- ¿Usted pertenece o es descendiente de alguno de estos pueblos indígenas o tribales?],5000,2,0.0,False
2025,XII,indigenous,2,Q1_5_4,Mapuche [Q1.5.- ¿Usted pertenece o es descendiente de alguno de estos pueblos indígenas o tribales?],5000,2,0.0,False
2025,XII,indigenous,1,A12_3,Quechua [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],5000,2,0.0,False
2025,XII,indigenous,1,A12_5,Atacameño [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],5000,2,0.0,False
2025,XII,indigenous,1,A12_6,Chango [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],5000,2,0.0,False
2025,XII,indigenous,1,A12_7,Colla [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],5000,2,0.0,False
2025,XII,internet_use_frequency,3,Q21_13,"11. utilizar redes sociales (facebook, twitter, linked-in, etc.) [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,internet_use_frequency,2,Q10,Q10. ¿Con qué frecuencia ha utilizado Internet en los últimos 3 meses?,4731,4,5.38,True
2025,XII,internet_use_frequency,2,Q21_1,"NET OBTENER INFORMACIÓN [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,internet_use_frequency,2,Q21_2,"1. obtener información acerca de bienes o servicios (precios, especificaciones, lugares de venta) [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,internet_use_frequency,2,Q21_3,"2. obtener información acerca de oportunidades laborales [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,internet_use_frequency,2,Q21_4,"3. obtener información para realizar trabajos/informes de mi actividad laboral [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,internet_use_frequency,2,Q21_5,"4. obtener información para realizar tareas/informes de algún curso, materia o capacitación [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,internet_use_frequency,2,Q21_6,"5. obtener información para postular a cursos/carreras/postgrados/capacitación [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,quality_satisfaction,2,Q34_16,13.- La señal donde vivo es de muy mala calidad [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025,XII,quality_satisfaction,1,Q34_OTRA,Q34.- Señale las razones por las que no ha utilizado Internet en los últimos 12 meses o nunca.  - OTRO.,5000,31,0.0,False
2025,XII,quality_satisfaction,1,Q33_1,"1.- Ataque de algún virus (troyano o gusano) que ha dado como resultado pérdida de datos o tiempo, o daño al software o al equipo [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?]",4731,2,5.38,False
2025,XII,quality_satisfaction,1,Q33_2,"2.- Mal uso de información personal en internet (mal uso de videos, fotos o datos personales subidos a sitios públicos) [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?]",4731,2,5.38,False
2025,XII,quality_satisfaction,1,Q33_3,3.- Pérdidas financieras debido a pagos fraudulentos con tarjetas de créditos o débitos [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?],4731,2,5.38,False
2025,XII,quality_satisfaction,1,Q33_4,4.- Suplantación de identidad en trámites o compras [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?],4731,2,5.38,False
2025,XII,quality_satisfaction,1,Q33_5,Ninguno de los anteriores [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?],4731,2,5.38,False
2025,XII,quality_satisfaction,1,Q33_6,NET OTROS [Q33.- En los últimos 3 meses señale ¿qué problemas ha tenido Usted en términos de seguridad y privacidad de la información?],4731,2,5.38,False
2025,XII,security_privacy,4,Q32_1,"1.- Uso de algún tipo de herramienta de protección o software (antivirus, anti spam, firewall, etc.) para proteger su computador. [Q32.- En los últimos 3 meses: ¿qué actividades ha realizado usted en términos de seguridad y privacidad de la información? ]",4731,2,5.38,False
2025,XII,security_privacy,3,Q32_3,3.- Borrar o editar algo que usted posteó online para proteger su privacidad [Q32.- En los últimos 3 meses: ¿qué actividades ha realizado usted en términos de seguridad y privacidad de la información? ],4731,2,5.38,False
