dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,weighted_n,pct_weighted,weight_variable,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,P3_6,P3_6 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? TV con conexión a internet habilitada (Smart TV),1.0,Sí,3597,74.30283,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_6,P3_6 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? TV con conexión a internet habilitada (Smart TV),2.0,No,1228,25.36666,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_7,"P3_7 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Reproductores de streaming de TV (Roku, Chromecast, Amazon Fire, Xiaomi mi TV, Apple tv, etc.)",2.0,No,3797,78.43421,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_7,"P3_7 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Reproductores de streaming de TV (Roku, Chromecast, Amazon Fire, Xiaomi mi TV, Apple tv, etc.)",1.0,Sí,970,20.03718,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_7,"P3_7 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Reproductores de streaming de TV (Roku, Chromecast, Amazon Fire, Xiaomi mi TV, Apple tv, etc.)",3.0,No sabe / No responde (NO LEER),74,1.52861,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_8,P3_8 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Otros: ¿Cuál?:,2.0,No,4633,95.70337,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_8,P3_8 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Otros: ¿Cuál?:,3.0,No sabe / No responde (NO LEER),167,3.4497,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_8,P3_8 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Otros: ¿Cuál?:,1.0,Sí,41,0.84693,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P3_8_OTRA,otros- cual?,-,-,4959,99.18,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,P4_1,Banda Ancha Fija [Adsl / Cable Modem / Fibra Óptica / Otra] Ya Sea Por Cable O Wifi [P4.- ¿Dispone usted de alguna o algunas de las siguientes FORMAS DE ACCESO PAGADA para conectarse a Internet en SU HOGAR?],1.0,1.0,3296,65.92,,,,published only when unweighted n >= 30
